序号,传输方向,时间标识,帧ID,帧格式,帧类型,数据长度,数据(HEX)
614,接收,17:27:19.340.0,0x00000123,数据帧,标准帧,0x08,06 15 01 02 05 09 00 00 
615,接收,17:27:19.479.0,0x00000123,数据帧,标准帧,0x08,06 16 01 02 05 09 00 00 
616,接收,17:27:19.479.0,0x00000123,数据帧,标准帧,0x08,06 17 01 02 05 09 00 00 
617,接收,17:27:19.635.0,0x00000123,数据帧,标准帧,0x08,06 18 01 02 05 09 00 00 
618,接收,17:27:19.635.0,0x00000123,数据帧,标准帧,0x08,06 19 01 02 05 09 00 00 
619,接收,17:27:19.666.0,0x00000123,数据帧,标准帧,0x08,06 20 01 02 05 09 00 00 
620,接收,17:27:19.764.0,0x00000123,数据帧,标准帧,0x08,06 21 01 02 05 09 00 00 
621,接收,17:27:19.905.0,0x00000123,数据帧,标准帧,0x08,06 22 01 02 05 09 00 00 
622,接收,17:27:19.905.0,0x00000123,数据帧,标准帧,0x08,06 23 01 02 05 09 00 00 
623,接收,17:27:19.905.0,0x00000123,数据帧,标准帧,0x08,06 24 01 02 05 09 00 00 
624,接收,17:27:20.057.0,0x00000123,数据帧,标准帧,0x08,06 25 01 02 05 09 00 00 
625,接收,17:27:20.057.0,0x00000123,数据帧,标准帧,0x08,06 26 01 02 05 09 00 00 
626,接收,17:27:20.165.0,0x00000123,数据帧,标准帧,0x08,06 27 01 02 05 09 00 00 
627,接收,17:27:20.165.0,0x00000123,数据帧,标准帧,0x08,06 28 01 02 05 09 00 00 
628,接收,17:27:20.335.0,0x00000123,数据帧,标准帧,0x08,06 29 01 02 05 09 00 00 
629,接收,17:27:20.335.0,0x00000123,数据帧,标准帧,0x08,06 30 01 02 05 09 00 00 
630,接收,17:27:20.335.0,0x00000123,数据帧,标准帧,0x08,06 31 01 02 05 09 00 00 
631,接收,17:27:20.459.0,0x00000123,数据帧,标准帧,0x08,06 32 01 02 05 09 00 00 
632,接收,17:27:20.459.0,0x00000123,数据帧,标准帧,0x08,06 33 01 02 05 09 00 00 
633,接收,17:27:20.601.0,0x00000123,数据帧,标准帧,0x08,06 34 01 02 05 09 00 00 
634,接收,17:27:20.601.0,0x00000123,数据帧,标准帧,0x08,06 35 01 02 05 09 00 00 
635,接收,17:27:20.717.0,0x00000123,数据帧,标准帧,0x08,06 36 01 02 05 09 00 00 
636,接收,17:27:20.717.0,0x00000123,数据帧,标准帧,0x08,06 37 01 02 05 09 00 00 
637,接收,17:27:20.781.0,0x00000123,数据帧,标准帧,0x08,06 38 01 02 05 09 00 00 
638,接收,17:27:20.841.0,0x00000123,数据帧,标准帧,0x08,06 39 01 02 05 09 00 00 
639,接收,17:27:20.978.0,0x00000123,数据帧,标准帧,0x08,06 40 01 02 05 09 00 00 
640,接收,17:27:20.978.0,0x00000123,数据帧,标准帧,0x08,06 41 01 02 05 09 00 00 
641,接收,17:27:21.108.0,0x00000123,数据帧,标准帧,0x08,06 42 01 02 05 09 00 00 
642,接收,17:27:21.108.0,0x00000123,数据帧,标准帧,0x08,06 43 01 02 05 09 00 00 
643,接收,17:27:21.259.0,0x00000123,数据帧,标准帧,0x08,06 44 01 02 05 09 00 00 
644,接收,17:27:21.259.0,0x00000123,数据帧,标准帧,0x08,06 45 01 02 05 09 00 00 
645,接收,17:27:21.383.0,0x00000123,数据帧,标准帧,0x08,06 46 01 02 05 09 00 00 
646,接收,17:27:21.383.0,0x00000123,数据帧,标准帧,0x08,06 47 01 02 05 09 00 00 
647,接收,17:27:21.507.0,0x00000123,数据帧,标准帧,0x08,06 48 01 02 05 09 00 00 
648,接收,17:27:21.507.0,0x00000123,数据帧,标准帧,0x08,06 49 01 02 05 09 00 00 
649,接收,17:27:21.663.0,0x00000123,数据帧,标准帧,0x08,06 50 01 02 05 09 00 00 
650,接收,17:27:21.663.0,0x00000123,数据帧,标准帧,0x08,06 51 01 02 05 09 00 00 
651,接收,17:27:21.818.0,0x00000123,数据帧,标准帧,0x08,06 52 01 02 05 09 00 00 
652,接收,17:27:21.818.0,0x00000123,数据帧,标准帧,0x08,06 53 01 02 05 09 00 00 
653,接收,17:27:21.927.0,0x00000123,数据帧,标准帧,0x08,06 54 01 02 05 09 00 00 
654,接收,17:27:21.927.0,0x00000123,数据帧,标准帧,0x08,06 55 01 02 05 09 00 00 
655,接收,17:27:21.942.0,0x00000123,数据帧,标准帧,0x08,06 56 01 02 05 09 00 00 
656,接收,17:27:22.064.0,0x00000123,数据帧,标准帧,0x08,06 57 01 02 05 09 00 00 
657,接收,17:27:22.215.0,0x00000123,数据帧,标准帧,0x08,06 58 01 02 05 09 00 00 
658,接收,17:27:22.215.0,0x00000123,数据帧,标准帧,0x08,06 59 01 02 05 09 00 00 
659,接收,17:27:22.215.0,0x00000123,数据帧,标准帧,0x08,06 60 01 02 05 09 00 00 
660,接收,17:27:22.313.0,0x00000123,数据帧,标准帧,0x08,06 61 01 02 05 09 00 00 
661,接收,17:27:22.313.0,0x00000123,数据帧,标准帧,0x08,06 62 01 02 05 09 00 00 
662,接收,17:27:22.436.0,0x00000123,数据帧,标准帧,0x08,06 63 01 02 05 09 00 00 
663,接收,17:27:22.436.0,0x00000123,数据帧,标准帧,0x08,06 64 01 02 05 09 00 00 
664,接收,17:27:22.561.0,0x00000123,数据帧,标准帧,0x08,06 65 01 02 05 09 00 00 
665,接收,17:27:22.561.0,0x00000123,数据帧,标准帧,0x08,06 66 01 02 05 09 00 00 
666,接收,17:27:22.701.0,0x00000123,数据帧,标准帧,0x08,06 67 01 02 05 09 00 00 
667,接收,17:27:22.701.0,0x00000123,数据帧,标准帧,0x08,06 68 01 02 05 09 00 00 
668,接收,17:27:22.833.0,0x00000123,数据帧,标准帧,0x08,06 69 01 02 05 09 00 00 
669,接收,17:27:22.833.0,0x00000123,数据帧,标准帧,0x08,06 70 01 02 05 09 00 00 
670,接收,17:27:22.959.0,0x00000123,数据帧,标准帧,0x08,06 71 01 02 05 09 00 00 
671,接收,17:27:22.959.0,0x00000123,数据帧,标准帧,0x08,06 72 01 02 05 09 00 00 
672,接收,17:27:23.118.0,0x00000123,数据帧,标准帧,0x08,06 73 01 02 05 09 00 00 
673,接收,17:27:23.118.0,0x00000123,数据帧,标准帧,0x08,06 74 01 02 05 09 00 00 
674,接收,17:27:23.118.0,0x00000123,数据帧,标准帧,0x08,06 75 01 02 05 09 00 00 
675,接收,17:27:23.238.0,0x00000123,数据帧,标准帧,0x08,06 76 01 02 05 09 00 00 
676,接收,17:27:23.377.0,0x00000123,数据帧,标准帧,0x08,06 77 01 02 05 09 00 00 
677,接收,17:27:23.377.0,0x00000123,数据帧,标准帧,0x08,06 78 01 02 05 09 00 00 
678,接收,17:27:23.377.0,0x00000123,数据帧,标准帧,0x08,06 79 01 02 05 09 00 00 
679,接收,17:27:23.516.0,0x00000123,数据帧,标准帧,0x08,06 80 01 02 05 09 00 00 
680,接收,17:27:23.516.0,0x00000123,数据帧,标准帧,0x08,06 81 01 02 05 09 00 00 
681,接收,17:27:23.640.0,0x00000123,数据帧,标准帧,0x08,06 82 01 02 05 09 00 00 
682,接收,17:27:23.640.0,0x00000123,数据帧,标准帧,0x08,06 83 01 02 05 09 00 00 
683,接收,17:27:23.778.0,0x00000123,数据帧,标准帧,0x08,06 84 01 02 05 09 00 00 
684,接收,17:27:23.778.0,0x00000123,数据帧,标准帧,0x08,06 85 01 02 05 09 00 00 
685,接收,17:27:23.933.0,0x00000123,数据帧,标准帧,0x08,06 86 01 02 05 09 00 00 
686,接收,17:27:23.933.0,0x00000123,数据帧,标准帧,0x08,06 87 01 02 05 09 00 00 
687,接收,17:27:24.055.0,0x00000123,数据帧,标准帧,0x08,06 88 01 02 05 09 00 00 
688,接收,17:27:24.055.0,0x00000123,数据帧,标准帧,0x08,06 89 01 02 05 09 00 00 
689,接收,17:27:24.209.0,0x00000123,数据帧,标准帧,0x08,06 90 01 02 05 09 00 00 
690,接收,17:27:24.209.0,0x00000123,数据帧,标准帧,0x08,06 91 01 02 05 09 00 00 
691,接收,17:27:24.209.0,0x00000123,数据帧,标准帧,0x08,06 92 01 02 05 09 00 00 
692,接收,17:27:24.254.0,0x00000123,数据帧,标准帧,0x08,06 93 01 02 05 09 00 00 
693,接收,17:27:24.355.0,0x00000123,数据帧,标准帧,0x08,06 94 01 02 05 09 00 00 
694,接收,17:27:24.513.0,0x00000123,数据帧,标准帧,0x08,06 95 01 02 05 09 00 00 
695,接收,17:27:24.513.0,0x00000123,数据帧,标准帧,0x08,06 96 01 02 05 09 00 00 
696,接收,17:27:24.513.0,0x00000123,数据帧,标准帧,0x08,06 97 01 02 05 09 00 00 
697,接收,17:27:24.652.0,0x00000123,数据帧,标准帧,0x08,06 98 01 02 05 09 00 00 
698,接收,17:27:24.652.0,0x00000123,数据帧,标准帧,0x08,06 99 01 02 05 09 00 00 
699,接收,17:27:24.809.0,0x00000123,数据帧,标准帧,0x08,07 00 01 02 05 09 00 00 
700,接收,17:27:24.809.0,0x00000123,数据帧,标准帧,0x08,07 01 01 02 05 09 00 00 
701,接收,17:27:24.809.0,0x00000123,数据帧,标准帧,0x08,07 02 01 02 05 09 00 00 
702,接收,17:27:24.948.0,0x00000123,数据帧,标准帧,0x08,07 03 01 02 05 09 00 00 
703,接收,17:27:25.078.0,0x00000123,数据帧,标准帧,0x08,07 04 01 02 05 09 00 00 
704,接收,17:27:25.078.0,0x00000123,数据帧,标准帧,0x08,07 05 01 02 05 09 00 00 
705,接收,17:27:25.209.0,0x00000123,数据帧,标准帧,0x08,07 06 01 02 05 09 00 00 
706,接收,17:27:25.209.0,0x00000123,数据帧,标准帧,0x08,07 07 01 02 05 09 00 00 
707,接收,17:27:25.389.0,0x00000123,数据帧,标准帧,0x08,07 08 01 02 05 09 00 00 
708,接收,17:27:25.389.0,0x00000123,数据帧,标准帧,0x08,07 09 01 02 05 09 00 00 
709,接收,17:27:25.389.0,0x00000123,数据帧,标准帧,0x08,07 10 01 02 05 09 00 00 
710,接收,17:27:25.389.0,0x00000123,数据帧,标准帧,0x08,07 11 01 02 05 09 00 00 
711,接收,17:27:25.511.0,0x00000123,数据帧,标准帧,0x08,07 12 01 02 05 09 00 00 
712,接收,17:27:25.655.0,0x00000123,数据帧,标准帧,0x08,07 13 01 02 05 09 00 00 
713,接收,17:27:25.655.0,0x00000123,数据帧,标准帧,0x08,07 14 01 02 05 09 00 00 
714,接收,17:27:25.655.0,0x00000123,数据帧,标准帧,0x08,07 15 01 02 05 09 00 00 
715,接收,17:27:25.792.0,0x00000123,数据帧,标准帧,0x08,07 16 01 02 05 09 00 00 
716,接收,17:27:25.792.0,0x00000123,数据帧,标准帧,0x08,07 17 01 02 05 09 00 00 
717,接收,17:27:25.909.0,0x00000123,数据帧,标准帧,0x08,07 18 01 02 05 09 00 00 
718,接收,17:27:25.909.0,0x00000123,数据帧,标准帧,0x08,07 19 01 02 05 09 00 00 
719,接收,17:27:26.027.0,0x00000123,数据帧,标准帧,0x08,07 20 01 02 05 09 00 00 
720,接收,17:27:26.190.0,0x00000123,数据帧,标准帧,0x08,07 21 01 02 05 09 00 00 
721,接收,17:27:26.190.0,0x00000123,数据帧,标准帧,0x08,07 22 01 02 05 09 00 00 
722,接收,17:27:26.190.0,0x00000123,数据帧,标准帧,0x08,07 23 01 02 05 09 00 00 
723,接收,17:27:26.304.0,0x00000123,数据帧,标准帧,0x08,07 24 01 02 05 09 00 00 
724,接收,17:27:26.304.0,0x00000123,数据帧,标准帧,0x08,07 25 01 02 05 09 00 00 
725,接收,17:27:26.463.0,0x00000123,数据帧,标准帧,0x08,07 26 01 02 05 09 00 00 
726,接收,17:27:26.463.0,0x00000123,数据帧,标准帧,0x08,07 27 01 02 05 09 00 00 
727,接收,17:27:26.463.0,0x00000123,数据帧,标准帧,0x08,07 28 01 02 05 09 00 00 
728,接收,17:27:26.525.0,0x00000123,数据帧,标准帧,0x08,07 29 01 02 05 09 00 00 
729,接收,17:27:26.602.0,0x00000123,数据帧,标准帧,0x08,07 30 01 02 05 09 00 00 
730,接收,17:27:26.709.0,0x00000123,数据帧,标准帧,0x08,07 31 01 02 05 09 00 00 
731,接收,17:27:26.709.0,0x00000123,数据帧,标准帧,0x08,07 32 01 02 05 09 00 00 
732,接收,17:27:26.834.0,0x00000123,数据帧,标准帧,0x08,07 33 01 02 05 09 00 00 
733,接收,17:27:26.834.0,0x00000123,数据帧,标准帧,0x08,07 34 01 02 05 09 00 00 
734,接收,17:27:26.962.0,0x00000123,数据帧,标准帧,0x08,07 35 01 02 05 09 00 00 
735,接收,17:27:26.962.0,0x00000123,数据帧,标准帧,0x08,07 36 01 02 05 09 00 00 
736,接收,17:27:27.109.0,0x00000123,数据帧,标准帧,0x08,07 37 01 02 05 09 00 00 
737,接收,17:27:27.258.0,0x00000123,数据帧,标准帧,0x08,07 38 01 02 05 09 00 00 
738,接收,17:27:27.258.0,0x00000123,数据帧,标准帧,0x08,07 39 01 02 05 09 00 00 
739,接收,17:27:27.258.0,0x00000123,数据帧,标准帧,0x08,07 40 01 02 05 09 00 00 
740,接收,17:27:27.414.0,0x00000123,数据帧,标准帧,0x08,07 41 01 02 05 09 00 00 
741,接收,17:27:27.414.0,0x00000123,数据帧,标准帧,0x08,07 42 01 02 05 09 00 00 
742,接收,17:27:27.540.0,0x00000123,数据帧,标准帧,0x08,07 43 01 02 05 09 00 00 
743,接收,17:27:27.540.0,0x00000123,数据帧,标准帧,0x08,07 44 01 02 05 09 00 00 
744,接收,17:27:27.540.0,0x00000123,数据帧,标准帧,0x08,07 45 01 02 05 09 00 00 
745,接收,17:27:27.677.0,0x00000123,数据帧,标准帧,0x08,07 46 01 02 05 09 00 00 
746,接收,17:27:27.677.0,0x00000123,数据帧,标准帧,0x08,07 47 01 02 05 09 00 00 
747,接收,17:27:27.722.0,0x00000123,数据帧,标准帧,0x08,07 48 01 02 05 09 00 00 
748,接收,17:27:27.859.0,0x00000123,数据帧,标准帧,0x08,07 49 01 02 05 09 00 00 
749,接收,17:27:27.859.0,0x00000123,数据帧,标准帧,0x08,07 50 01 02 05 09 00 00 
750,接收,17:27:28.013.0,0x00000123,数据帧,标准帧,0x08,07 51 01 02 05 09 00 00 
751,接收,17:27:28.013.0,0x00000123,数据帧,标准帧,0x08,07 52 01 02 05 09 00 00 
752,接收,17:27:28.127.0,0x00000123,数据帧,标准帧,0x08,07 53 01 02 05 09 00 00 
753,接收,17:27:28.258.0,0x00000123,数据帧,标准帧,0x08,07 54 01 02 05 09 00 00 
754,接收,17:27:28.258.0,0x00000123,数据帧,标准帧,0x08,07 55 01 02 05 09 00 00 
755,接收,17:27:28.416.0,0x00000123,数据帧,标准帧,0x08,07 56 01 02 05 09 00 00 
756,接收,17:27:28.416.0,0x00000123,数据帧,标准帧,0x08,07 57 01 02 05 09 00 00 
757,接收,17:27:28.416.0,0x00000123,数据帧,标准帧,0x08,07 58 01 02 05 09 00 00 
758,接收,17:27:28.556.0,0x00000123,数据帧,标准帧,0x08,07 59 01 02 05 09 00 00 
759,接收,17:27:28.556.0,0x00000123,数据帧,标准帧,0x08,07 60 01 02 05 09 00 00 
760,接收,17:27:28.710.0,0x00000123,数据帧,标准帧,0x08,07 61 01 02 05 09 00 00 
761,接收,17:27:28.710.0,0x00000123,数据帧,标准帧,0x08,07 62 01 02 05 09 00 00 
762,接收,17:27:28.710.0,0x00000123,数据帧,标准帧,0x08,07 63 01 02 05 09 00 00 
763,接收,17:27:28.862.0,0x00000123,数据帧,标准帧,0x08,07 64 01 02 05 09 00 00 
764,接收,17:27:28.862.0,0x00000123,数据帧,标准帧,0x08,07 65 01 02 05 09 00 00 
765,接收,17:27:28.893.0,0x00000123,数据帧,标准帧,0x08,07 66 01 02 05 09 00 00 
766,接收,17:27:28.956.0,0x00000123,数据帧,标准帧,0x08,07 67 01 02 05 09 00 00 
767,接收,17:27:29.100.0,0x00000123,数据帧,标准帧,0x08,07 68 01 02 05 09 00 00 
768,接收,17:27:29.100.0,0x00000123,数据帧,标准帧,0x08,07 69 01 02 05 09 00 00 
769,接收,17:27:29.277.0,0x00000123,数据帧,标准帧,0x08,07 70 01 02 05 09 00 00 
770,接收,17:27:29.277.0,0x00000123,数据帧,标准帧,0x08,07 71 01 02 05 09 00 00 
771,接收,17:27:29.434.0,0x00000123,数据帧,标准帧,0x08,07 72 01 02 05 09 00 00 
772,接收,17:27:29.434.0,0x00000123,数据帧,标准帧,0x08,07 73 01 02 05 09 00 00 
773,接收,17:27:29.434.0,0x00000123,数据帧,标准帧,0x08,07 74 01 02 05 09 00 00 
774,接收,17:27:29.540.0,0x00000123,数据帧,标准帧,0x08,07 75 01 02 05 09 00 00 
775,接收,17:27:29.540.0,0x00000123,数据帧,标准帧,0x08,07 76 01 02 05 09 00 00 
776,接收,17:27:29.663.0,0x00000123,数据帧,标准帧,0x08,07 77 01 02 05 09 00 00 
777,接收,17:27:29.663.0,0x00000123,数据帧,标准帧,0x08,07 78 01 02 05 09 00 00 
778,接收,17:27:29.802.0,0x00000123,数据帧,标准帧,0x08,07 79 01 02 05 09 00 00 
779,接收,17:27:29.802.0,0x00000123,数据帧,标准帧,0x08,07 80 01 02 05 09 00 00 
780,接收,17:27:29.955.0,0x00000123,数据帧,标准帧,0x08,07 81 01 02 05 09 00 00 
781,接收,17:27:29.955.0,0x00000123,数据帧,标准帧,0x08,07 82 01 02 05 09 00 00 
782,接收,17:27:30.105.0,0x00000123,数据帧,标准帧,0x08,07 83 01 02 05 09 00 00 
783,接收,17:27:30.105.0,0x00000123,数据帧,标准帧,0x08,07 84 01 02 05 09 00 00 
784,接收,17:27:30.105.0,0x00000123,数据帧,标准帧,0x08,07 85 01 02 05 09 00 00 
785,接收,17:27:30.142.0,0x00000123,数据帧,标准帧,0x08,07 86 01 02 05 09 00 00 
786,接收,17:27:30.238.0,0x00000123,数据帧,标准帧,0x08,07 87 01 02 05 09 00 00 
787,接收,17:27:30.354.0,0x00000123,数据帧,标准帧,0x08,07 88 01 02 05 09 00 00 
788,接收,17:27:30.511.0,0x00000123,数据帧,标准帧,0x08,07 89 01 02 05 09 00 00 
789,接收,17:27:30.511.0,0x00000123,数据帧,标准帧,0x08,07 90 01 02 05 09 00 00 
790,接收,17:27:30.511.0,0x00000123,数据帧,标准帧,0x08,07 91 01 02 05 09 00 00 
791,接收,17:27:30.604.0,0x00000123,数据帧,标准帧,0x08,07 92 01 02 05 09 00 00 
792,接收,17:27:30.729.0,0x00000123,数据帧,标准帧,0x08,07 93 01 02 05 09 00 00 
793,接收,17:27:30.729.0,0x00000123,数据帧,标准帧,0x08,07 94 01 02 05 09 00 00 
794,接收,17:27:30.853.0,0x00000123,数据帧,标准帧,0x08,07 95 01 02 05 09 00 00 
795,接收,17:27:30.853.0,0x00000123,数据帧,标准帧,0x08,07 96 01 02 05 09 00 00 
796,接收,17:27:31.010.0,0x00000123,数据帧,标准帧,0x08,07 97 01 02 05 09 00 00 
797,接收,17:27:31.010.0,0x00000123,数据帧,标准帧,0x08,07 98 01 02 05 09 00 00 
798,接收,17:27:31.010.0,0x00000123,数据帧,标准帧,0x08,07 99 01 02 05 09 00 00 
799,接收,17:27:31.105.0,0x00000123,数据帧,标准帧,0x08,08 00 01 02 05 09 00 00 
800,接收,17:27:31.243.0,0x00000123,数据帧,标准帧,0x08,08 01 01 02 05 09 00 00 
801,接收,17:27:31.243.0,0x00000123,数据帧,标准帧,0x08,08 02 01 02 05 09 00 00 
802,接收,17:27:31.243.0,0x00000123,数据帧,标准帧,0x08,08 03 01 02 05 09 00 00 
803,接收,17:27:31.288.0,0x00000123,数据帧,标准帧,0x08,08 04 01 02 05 09 00 00 
804,接收,17:27:31.381.0,0x00000123,数据帧,标准帧,0x08,08 05 01 02 05 09 00 00 
805,接收,17:27:31.537.0,0x00000123,数据帧,标准帧,0x08,08 06 01 02 05 09 00 00 
806,接收,17:27:31.537.0,0x00000123,数据帧,标准帧,0x08,08 07 01 02 05 09 00 00 
807,接收,17:27:31.631.0,0x00000123,数据帧,标准帧,0x08,08 08 01 02 05 09 00 00 
808,接收,17:27:31.631.0,0x00000123,数据帧,标准帧,0x08,08 09 01 02 05 09 00 00 
809,接收,17:27:31.752.0,0x00000123,数据帧,标准帧,0x08,08 10 01 02 05 09 00 00 
810,接收,17:27:31.752.0,0x00000123,数据帧,标准帧,0x08,08 11 01 02 05 09 00 00 
811,接收,17:27:31.906.0,0x00000123,数据帧,标准帧,0x08,08 12 01 02 05 09 00 00 
812,接收,17:27:31.906.0,0x00000123,数据帧,标准帧,0x08,08 13 01 02 05 09 00 00 
813,接收,17:27:32.031.0,0x00000123,数据帧,标准帧,0x08,08 14 01 02 05 09 00 00 
814,接收,17:27:32.031.0,0x00000123,数据帧,标准帧,0x08,08 15 01 02 05 09 00 00 
815,接收,17:27:32.185.0,0x00000123,数据帧,标准帧,0x08,08 16 01 02 05 09 00 00 
816,接收,17:27:32.185.0,0x00000123,数据帧,标准帧,0x08,08 17 01 02 05 09 00 00 
817,接收,17:27:32.185.0,0x00000123,数据帧,标准帧,0x08,08 18 01 02 05 09 00 00 
818,接收,17:27:32.314.0,0x00000123,数据帧,标准帧,0x08,08 19 01 02 05 09 00 00 
